Compartment,MP_form,SizeFrac,advection,biofilm,breakup,burial,defouling,degradation,fragmentation,heteroagg,mixing,resusp,rising,sedTransport,settling
Flowing Water,Biof&Heteroagg,0.1 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-10,0.0,0.0,0.0,4.041666262154777e-20
Flowing Water,Biof&Heteroagg,1 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-10,0.0,0.0,0.0,5.676890986422556e-20
Flowing Water,Biof&Heteroagg,10 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-10,0.0,0.0,0.0,4.693167023467891e-19
Flowing Water,Biof&Heteroagg,100 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-10,0.0,0.0,0.0,2.6030143102672934e-17
Flowing Water,Biof&Heteroagg,1000 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Biofouled,0.1 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882294e-12,0.000556,1e-10,0.0,0.0,0.0,4.039474481468068e-20
Flowing Water,Biofouled,1 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-11,0.000556,1e-10,0.0,0.0,0.0,5.674505547544398e-20
Flowing Water,Biofouled,10 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882296e-10,0.000556,1e-10,0.0,0.0,0.0,4.692782441047684e-19
Flowing Water,Biofouled,100 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-09,0.000556,1e-10,0.0,0.0,0.0,2.603008603639465e-17
Flowing Water,Biofouled,1000 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-08,0.000556,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Heteroaggregate,0.1 um,2.6000000000000002e-05,3.858024691358025e-07,2.8639142214099005e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,1.5925557505326641e-24
Flowing Water,Heteroaggregate,1 um,2.6000000000000002e-05,3.858024691358025e-07,4.258401353516199e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,2.713963245406021e-25
Flowing Water,Heteroaggregate,10 um,2.6000000000000002e-05,3.858024691358025e-07,0.000478481712159296,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Heteroaggregate,100 um,2.6000000000000002e-05,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Heteroaggregate,1000 um,2.6000000000000002e-05,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,0.1 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764588e-12,4.556187747221937e-05,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,1 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-11,4.140236421405342e-05,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,10 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,0.000556,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,100 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,1e-10,0.0,0.0,0.0,0.0
Flowing Water,Pristine,1000 um,2.6000000000000002e-05,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-08,0.000556,1e-10,0.0,0.0,0.0,0.0
Sediment,Biof&Heteroagg,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,10 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,100 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,1000 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.5854895991882294e-12,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.5854895991882293e-11,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,10 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.5854895991882296e-10,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,100 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.5854895991882293e-09,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,1000 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.5854895991882293e-08,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Heteroaggregate,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-10,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Heteroaggregate,1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-10,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Heteroaggregate,10 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-10,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Heteroaggregate,100 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-10,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Heteroaggregate,1000 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-10,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Pristine,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-09,3.1709791983764588e-12,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Pristine,1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-09,3.1709791983764586e-11,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Pristine,10 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-09,3.170979198376459e-10,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Pristine,100 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Pristine,1000 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,1.6045073624072808e-09,3.1709791983764586e-08,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Stagnant Water,Biof&Heteroagg,0.1 um,0.0,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,4.041666262154777e-20
Stagnant Water,Biof&Heteroagg,1 um,0.0,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,5.676890986422556e-20
Stagnant Water,Biof&Heteroagg,10 um,0.0,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,4.693167023467891e-19
Stagnant Water,Biof&Heteroagg,100 um,0.0,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,2.6030143102672934e-17
Stagnant Water,Biof&Heteroagg,1000 um,0.0,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Biofouled,0.1 um,0.0,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882294e-12,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,4.039474481468068e-20
Stagnant Water,Biofouled,1 um,0.0,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-11,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,5.674505547544398e-20
Stagnant Water,Biofouled,10 um,0.0,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882296e-10,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,4.692782441047684e-19
Stagnant Water,Biofouled,100 um,0.0,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-09,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,2.603008603639465e-17
Stagnant Water,Biofouled,1000 um,0.0,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-08,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Heteroaggregate,0.1 um,0.0,3.858024691358025e-08,2.8639142214099005e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,1.5925557505326641e-24
Stagnant Water,Heteroaggregate,1 um,0.0,3.858024691358025e-08,4.258401353516199e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,2.713963245406021e-25
Stagnant Water,Heteroaggregate,10 um,0.0,3.858024691358025e-08,0.000478481712159296,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Heteroaggregate,100 um,0.0,3.858024691358025e-08,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Heteroaggregate,1000 um,0.0,3.858024691358025e-08,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Pristine,0.1 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764588e-12,4.556187747221937e-05,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Pristine,1 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-11,4.140236421405342e-05,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Pristine,10 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Pristine,100 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Stagnant Water,Pristine,1000 um,0.0,3.858024691358025e-08,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-08,0.000556,1.2250000000000001e-12,0.0,0.0,0.0,0.0
Surface Water,Biof&Heteroagg,0.1 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,4.9e-09,0.0,0.0,0.0,4.041666262154777e-20
Surface Water,Biof&Heteroagg,1 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,4.9e-09,0.0,0.0,0.0,5.676890986422556e-20
Surface Water,Biof&Heteroagg,10 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,4.9e-09,0.0,0.0,0.0,4.693167023467891e-19
Surface Water,Biof&Heteroagg,100 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,4.9e-09,0.0,0.0,0.0,2.6030143102672934e-17
Surface Water,Biof&Heteroagg,1000 um,2.6000000000000002e-05,0.0,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Biofouled,0.1 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882296e-11,0.000556,4.9e-09,0.0,0.0,0.0,4.039474481468068e-20
Surface Water,Biofouled,1 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882296e-10,0.000556,4.9e-09,0.0,0.0,0.0,5.674505547544398e-20
Surface Water,Biofouled,10 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882293e-09,0.000556,4.9e-09,0.0,0.0,0.0,4.692782441047684e-19
Surface Water,Biofouled,100 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882296e-08,0.000556,4.9e-09,0.0,0.0,0.0,2.603008603639465e-17
Surface Water,Biofouled,1000 um,2.6000000000000002e-05,0.0,0.0,0.0,0.0,3.2090147248145615e-10,1.5854895991882294e-07,0.000556,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Heteroaggregate,0.1 um,2.6000000000000002e-05,1.1574074074074074e-06,2.8639142214099005e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,4.9e-09,0.0,0.0,0.0,1.5925557505326641e-24
Surface Water,Heteroaggregate,1 um,2.6000000000000002e-05,1.1574074074074074e-06,4.258401353516199e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,4.9e-09,0.0,0.0,0.0,2.713963245406021e-25
Surface Water,Heteroaggregate,10 um,2.6000000000000002e-05,1.1574074074074074e-06,0.000478481712159296,0.0,0.0,1.6045073624072808e-10,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Heteroaggregate,100 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Heteroaggregate,1000 um,2.6000000000000002e-05,1.1574074074074074e-06,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,0.1 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-11,4.556187747221937e-05,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,1 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,4.140236421405342e-05,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,10 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,100 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-08,0.000556,4.9e-09,0.0,0.0,0.0,0.0
Surface Water,Pristine,1000 um,2.6000000000000002e-05,1.1574074074074074e-06,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-07,0.000556,4.9e-09,0.0,0.0,0.0,0.0
